x,A
0.000000e+00,7.210662e-04
1.010101e-02,7.074303e-04
2.020202e-02,6.940726e-04
3.030303e-02,6.809932e-04
4.040404e-02,6.681921e-04
5.050505e-02,6.556693e-04
6.060606e-02,6.434248e-04
7.070707e-02,6.314585e-04
8.080808e-02,6.197706e-04
9.090909e-02,6.083609e-04
1.010101e-01,5.972295e-04
1.111111e-01,5.863764e-04
1.212121e-01,5.758016e-04
1.313131e-01,5.655051e-04
1.414141e-01,5.554868e-04
1.515152e-01,5.457469e-04
1.616162e-01,5.362852e-04
1.717172e-01,5.271018e-04
1.818182e-01,5.181967e-04
1.919192e-01,5.095699e-04
2.020202e-01,5.012213e-04
2.121212e-01,4.931511e-04
2.222222e-01,4.853591e-04
2.323232e-01,4.778454e-04
2.424242e-01,4.706100e-04
2.525253e-01,4.636529e-04
2.626263e-01,4.569741e-04
2.727273e-01,4.505735e-04
2.828283e-01,4.444513e-04
2.929293e-01,4.386073e-04
3.030303e-01,4.330416e-04
3.131313e-01,4.277542e-04
3.232323e-01,4.227450e-04
3.333333e-01,4.180142e-04
3.434343e-01,4.135617e-04
3.535354e-01,4.093874e-04
3.636364e-01,4.054914e-04
3.737374e-01,4.018737e-04
3.838384e-01,3.985343e-04
3.939394e-01,3.954732e-04
4.040404e-01,3.926903e-04
4.141414e-01,3.901857e-04
4.242424e-01,3.879595e-04
4.343434e-01,3.860115e-04
4.444444e-01,3.843418e-04
4.545455e-01,3.829503e-04
4.646465e-01,3.818372e-04
4.747475e-01,3.810024e-04
4.848485e-01,3.804458e-04
4.949495e-01,3.801675e-04
5.050505e-01,3.801675e-04
5.151515e-01,3.804458e-04
5.252525e-01,3.810024e-04
5.353535e-01,3.818372e-04
5.454545e-01,3.829503e-04
5.555556e-01,3.843418e-04
5.656566e-01,3.860115e-04
5.757576e-01,3.879595e-04
5.858586e-01,3.901857e-04
5.959596e-01,3.926903e-04
6.060606e-01,3.954732e-04
6.161616e-01,3.985343e-04
6.262626e-01,4.018737e-04
6.363636e-01,4.054914e-04
6.464646e-01,4.093874e-04
6.565657e-01,4.135617e-04
6.666667e-01,4.180142e-04
6.767677e-01,4.227450e-04
6.868687e-01,4.277542e-04
6.969697e-01,4.330416e-04
7.070707e-01,4.386073e-04
7.171717e-01,4.444513e-04
7.272727e-01,4.505735e-04
7.373737e-01,4.569741e-04
7.474747e-01,4.636529e-04
7.575758e-01,4.706100e-04
7.676768e-01,4.778454e-04
7.777778e-01,4.853591e-04
7.878788e-01,4.931511e-04
7.979798e-01,5.012213e-04
8.080808e-01,5.095699e-04
8.181818e-01,5.181967e-04
8.282828e-01,5.271018e-04
8.383838e-01,5.362852e-04
8.484848e-01,5.457469e-04
8.585859e-01,5.554868e-04
8.686869e-01,5.655051e-04
8.787879e-01,5.758016e-04
8.888889e-01,5.863764e-04
8.989899e-01,5.972295e-04
9.090909e-01,6.083609e-04
9.191919e-01,6.197706e-04
9.292929e-01,6.314585e-04
9.393939e-01,6.434248e-04
9.494949e-01,6.556693e-04
9.595960e-01,6.681921e-04
9.696970e-01,6.809932e-04
9.797980e-01,6.940726e-04
9.898990e-01,7.074303e-04
1.000000e+00,7.210662e-04
