x,A
0.09129,0.00638
0.08716,0.00601
0.08351,0.00513
0.08036,0.00424
0.07744,0.00354
0.07474,0.00298
0.07223,0.00255
0.06992,0.00222
0.06778,0.00198
0.06581,0.00180
0.06400,0.00168
0.06233,0.00160
0.06079,0.00156
0.05938,0.00154
0.05803,0.00155
0.05654,0.00156
0.05491,0.00158
0.05313,0.00159
0.05117,0.00161
0.04901,0.00163
0.04666,0.00165
0.04407,0.00167
0.04123,0.00169
0.03812,0.00172
0.03471,0.00175
0.03096,0.00178
0.02685,0.00181
0.02235,0.00185
0.01741,0.00189
0.01199,0.00193
0.00604,0.00198
0.00000,0.00201
