x,A
0.00000,0.00638
0.00413,0.00601
0.00778,0.00513
0.01093,0.00424
0.01385,0.00354
0.01655,0.00298
0.01906,0.00255
0.02137,0.00222
0.02351,0.00198
0.02548,0.00180
0.02729,0.00168
0.02896,0.00160
0.03050,0.00156
0.03191,0.00154
0.03326,0.00155
0.03475,0.00156
0.03638,0.00158
0.03816,0.00159
0.04012,0.00161
0.04228,0.00163
0.04463,0.00165
0.04722,0.00167
0.05006,0.00169
0.05317,0.00172
0.05658,0.00175
0.06033,0.00178
0.06444,0.00181
0.06894,0.00185
0.07388,0.00189
0.07930,0.00193
0.08525,0.00198
0.09129,0.00201
0.09837,0.00201
